year,cpi,mortgage_rate,collin_unemployment,dallas_unemployment,denton_unemployment,collin_hpi,dallas_hpi,denton_hpi
1990,130.65833333333333,10.129423076923077,3.8333333333333335,5.308333333333334,4.116666666666666,79.82,72.56,75.23
1991,136.16666666666666,9.246538461538462,4.891666666666667,6.441666666666666,4.866666666666666,80.77,73.49,75.64
1992,140.30833333333334,8.390188679245282,5.25,7.425,5.166666666666667,82.27,75.16,77.67
1993,144.475,7.314615384615385,4.2250000000000005,6.616666666666667,4.175,82.7,75.69,79.23
1994,148.225,8.38076923076923,3.841666666666667,5.733333333333333,4.008333333333334,83.13,75.81,80.6
1995,152.38333333333333,7.934615384615385,3.266666666666667,5.166666666666667,3.483333333333333,84.0,76.22,82.71
1996,156.85833333333332,7.806153846153847,2.6083333333333334,4.575,2.8666666666666667,85.91,78.81,84.47
1997,160.525,7.598846153846154,2.3333333333333335,4.216666666666667,2.3000000000000003,88.02,81.35,86.87
1998,163.00833333333333,6.942641509433962,2.0749999999999997,3.8166666666666664,2.066666666666667,91.37,86.24,90.53
1999,166.58333333333334,7.4399999999999995,2.0833333333333335,3.5999999999999996,1.9333333333333333,94.63,91.77,94.49
2000,172.1916666666667,8.053461538461539,2.858333333333333,3.9,2.8333333333333335,100.0,100.0,100.0
2001,177.04166666666666,6.967884615384615,4.141666666666667,5.283333333333333,3.5,105.51,106.69,105.83
2002,179.86666666666667,6.537307692307692,6.091666666666666,7.375,4.9750000000000005,108.71,110.62,108.97
2003,184.0,5.826981132075471,6.041666666666667,7.483333333333333,5.291666666666667,110.04,112.53,110.93
2004,188.90833333333333,5.839230769230769,5.033333333333333,6.608333333333333,4.6000000000000005,111.26,115.09,111.51
2005,195.26666666666665,5.866730769230769,4.733333333333333,5.733333333333333,4.641666666666667,114.21,119.4,114.11
2006,201.5583333333333,6.413269230769231,4.291666666666667,5.191666666666666,4.266666666666667,117.9,123.83,117.69
2007,207.34416666666667,6.337307692307693,3.8666666666666667,4.641666666666667,3.908333333333333,120.75,127.44,121.26
2008,215.25424999999998,6.027169811320754,4.508333333333334,5.341666666666666,4.458333333333333,120.86,129.19,121.59
2009,214.56466666666665,5.036538461538461,7.266666666666667,8.258333333333333,7.158333333333334,120.26,128.42,121.58
2010,218.0761666666667,4.689807692307692,7.308333333333334,8.691666666666666,7.183333333333334,119.94,125.48,120.7
2011,224.923,4.447884615384615,7.008333333333333,8.433333333333334,6.808333333333334,117.8,122.61,118.33
2012,229.58608333333333,3.6574999999999998,5.858333333333333,7.083333333333333,5.691666666666666,118.84,123.15,119.74
2013,232.95174999999998,3.9755769230769227,5.591666666666666,6.658333333333334,5.425,125.41,129.66,124.72
2014,236.715,4.168867924528302,4.616666666666666,5.491666666666667,4.5,138.7,141.84,135.74
2015,237.00175000000002,3.8505769230769227,3.65,4.3,3.5833333333333335,152.85,155.22,148.0
2016,240.00541666666666,3.6540384615384616,3.6750000000000003,4.008333333333334,3.533333333333333,169.06,170.47,162.59
2017,245.121,3.9898076923076924,3.6166666666666667,3.9333333333333336,3.4416666666666664,185.73,186.62,179.2
2018,251.0995,4.544615384615384,3.466666666666667,3.8000000000000003,3.3083333333333336,195.28,199.06,191.64
2019,255.65258333333335,3.935769230769231,3.2083333333333335,3.483333333333333,3.0416666666666665,199.78,207.14,198.92
2020,258.85575,3.111698113207547,6.508333333333333,7.8,6.6499999999999995,203.95,211.54,204.01
2021,270.97341666666665,2.957692307692308,4.45,5.625,4.491666666666666,233.94,237.04,232.58
2022,292.62641666666667,5.344038461538461,3.3083333333333336,3.8166666666666664,3.3083333333333336,290.83,283.86,282.3
2023,304.70300000000003,6.806730769230769,3.641666666666667,4.0,3.591666666666667,304.02,298.04,293.84
2024,313.6981666666667,6.721153846153846,3.8249999999999997,4.083333333333333,3.6999999999999997,310.46,307.02,299.85
2025,321.9619090909091,6.595094339622642,3.872727272727273,4.027272727272727,3.7181818181818183,308.14,306.66,297.21
